id,brand,name,year,price,Город,"Объем двигателя, л",Кузов,Пробег,Коробка передач,Цвет,Привод,Есть доставка
1211108,Chevrolet,Labo,1998,6000,Бухара,0.8 (газ-бензин),универсал,100000.0,механика,мокрый асфальт,задний привод,Да
1211098,Daewoo,Matiz (Standart),2008,3500,Фергана,1.3 (газ-бензин),хэтчбек,555.0,механика,жёлтый,передний привод,
1195830,Chevrolet,Damas,2016,7332,Шаватский район,,хэтчбек,58000.0,механика,белый,задний привод,
1196192,Chevrolet,"Nexia 2,",2012,6000,Андижан,1.5 (газ-бензин),хэтчбек,106.0,механика,белый,передний привод,
1211099,Dong Feng,AX7,2007,3373,Хивинский район,9.9 (газ-бензин),универсал,184000.0,механика,синий,задний привод,
1211086,Daewoo,Gentra,2017,9500,Ташкент,1.5 (газ-бензин),седан,215000.0,механика,белый,передний привод,
1211104,Chevrolet,Nexia,2011,7500,Ташкент,,седан,60000.0,механика,белый,,
1196201,Chevrolet,"Nexia 3,",2019,9000,Ташкент,1.5 (бензин),седан,25000.0,механика,мокрый асфальт,передний привод,
1196188,ВАЗ (Lada),Granta,2018,9647,Навои,1.6 (бензин),седан,23000.0,механика,серый,передний привод,Да
1196187,Daewoo,Damas,2005,4000,Самарканд,1.2 (газ),,350000.0,механика,белый,задний привод,
1171413,Chevrolet,"Cobalt,",2020,10000,Ташкент,1.5 (бензин),седан,1500.0,механика,белый,передний привод,
1196552,Chevrolet,"Nexia 2,",2009,3662,Самарканд,1.5 (газ-бензин),седан,450000.0,механика,зеленый,передний привод,
1195803,Chevrolet,"Lacetti,",2010,6900,Джизак,1.8 (газ-бензин),седан,400000.0,механика,белый,передний привод,
1149413,Ravon,Nexia R3,2018,8007,Хивинский район,1.5 (газ-бензин),седан,47000.0,автомат,белый,передний привод,
1183422,Chevrolet,"Cobalt,",2014,7800,Ташкент,1.5 (газ-бензин),седан,153000.0,механика,серый,передний привод,
1183408,ВАЗ (Lada),2101,1977,1351,Самарканд,,седан,,механика,белый,задний привод,
1183397,Chevrolet,"Matiz,",2015,4500,Ташкент,0.8 (бензин),хэтчбек,,механика,,передний привод,
1140907,Chevrolet,"Cobalt,",2020,11100,Самарканд,1.5 (бензин),седан,1200.0,автомат,белый,передний привод,
1196170,Kia,Carnival,2016,28000,Чартакский район,2.2 (дизель),минивэн,55000.0,автомат,черный,передний привод,Да
1196171,Daewoo,Damas,2005,4500,Шурчинский район,,универсал,,механика,,,
1196179,Chevrolet,Labo,2020,8800,Ташкент,,универсал,50.0,механика,белый,передний привод,
1196172,Chevrolet,Damas,2011,5500,Карши,,,,механика,,,
1178196,ВАЗ (Lada),Нива,1980,4823,Ташкент,,внедорожник,,механика,белый,передний привод,
1196168,Chevrolet,"Matiz,",2009,4148,Алтынсайский район,0.8 (газ-бензин),седан,243000.0,механика,белый,передний привод,
1196154,Daewoo,Matiz (Standart),2009,3500,Бухара,8 (бензин),хэтчбек,91000.0,механика,серебристый,передний привод,
1196155,Chevrolet,"Lacetti,",2019,12400,Навои,1.5 (газ-бензин),седан,6800.0,механика,белый,передний привод,
1099299,Chevrolet,"Nexia 3,",2019,8200,Хивинский район,1.5 (газ-бензин),седан,17500.0,механика,белый,передний привод,
1196150,Chevrolet,"Orlando,",2014,11500,Ташкент,1.8 (бензин),минивэн,,механика,,,
1196148,ГАЗ,2410 (Волга),1989,2500,Андижан,,пикап,,механика,белый,задний привод,
1196141,Chevrolet,Damas,2020,7500,Самарканд,1 (бензин),универсал,10000.0,механика,белый,задний привод,
1211092,Chevrolet,Damas,2017,6700,Наманган,,,168000.0,механика,белый,передний привод,
1131144,Chevrolet,"Spark,",2020,8500,Ангрен,1.3 (бензин),хэтчбек,1300.0,автомат,мокрый асфальт,передний привод,
1211064,Chevrolet,Spark,2014,5900,Наманган,1.25 (газ-бензин),хэтчбек,30500.0,механика,белый,передний привод,
1211100,Mercedes-Benz,E 260,1987,10000,Ташкент,2 (бензин),седан,429000.0,механика,серебристый,задний привод,
1079024,Chevrolet,"Lacetti,",2009,7200,Самарканд,1.8 (газ-бензин),седан,156000.0,автомат,белый,передний привод,
1161037,Chevrolet,"Nexia 3,",2018,6800,Самарканд,1.5 (бензин),седан,99990.0,механика,жёлтый,передний привод,
1196563,Chevrolet,"Cobalt,",2015,6500,Самарканд,1.5 (газ-бензин),седан,,механика,жёлтый,передний привод,
450280,ВАЗ (Lada),2103,1977,1158,Карши,6 (газ-бензин),хэтчбек,20090.0,механика,зеленый,передний привод,
450280,ВАЗ (Lada),2103,1977,1158,Карши,6 (газ-бензин),хэтчбек,20090.0,механика,зеленый,передний привод,
1211078,Daewoo,Damas,1998,3500,Фергана,,,,механика,,,
1211060,Daewoo,Nexia,2008,5200,Ташкент,1.6 (бензин),седан,216.0,механика,,,
1211084,Volkswagen,Transporter,1985,5000,Чирчик,1.8 (газ-бензин),фургон,,механика,серый,задний привод,
